desc,physicalObject,OSMtidyStage
Training; Occupational and networking,Training centres,fromFilters
Training; Private tuition (children),Training centres,fromFilters
Public transport; Tram stop,Tram stops,fromFilters
Buildings; Lighthouse,Transport providers and control centres,fromFilters
Buildings; Lighthouses,Transport providers and control centres,fromFilters
Business and commerce; Transport operator offices,Transport providers and control centres,fromFilters
Logistics; Administrative office,Transport providers and control centres,fromFilters
Public transport; Taxi office,Transport providers and control centres,fromFilters
Traffic management; Air traffic control,Transport providers and control centres,fromFilters
Traffic management; Control centre,Transport providers and control centres,fromFilters
Business and commerce; Travel agency,Travel agencies,fromFilters
Residential; Traveller,Traveller sites,fromFilters
Transport infrastructure; Passageways and tunnels through buildings,Tunnels,fromFilters
Transport infrastructure; Tunnel,Tunnels,fromFilters
Social facility; Trade and labour unions,Union offices,fromFilters
Trades and services; Electrician,Utility trades,fromFilters
Trades and services; Plumbing and HVAC,Utility trades,fromFilters
Trades and services; Telecoms,Utility trades,fromFilters
Buildings; Council depot,Vehicle depots,fromFilters
Buildings; Depots,Vehicle depots,fromFilters
Governance; Police garage,Vehicle depots,fromFilters
"Transport infrastructure; Rail depots, yards and sidings",Vehicle depots,fromFilters
Vehicles; Depot,Vehicle depots,fromFilters
Vehicles; Pound,Vehicle impounds,fromFilters
Amenity; Car wash,Vehicle maintenance services,fromFilters
Amenity; Fuel station,Vehicle maintenance services,fromFilters
Vehicles; Maintenance and repair,Vehicle maintenance services,fromFilters
Vehicles; Rental,Vehicle rental services,fromFilters
Amenity; Bike rental point,Vehicle sharing points,fromFilters
Vehicles; Car share,Vehicle sharing points,fromFilters
Animal; Veterinarian,Veterinary practices,fromFilters
University; Veterinary college,Veterinary practices,fromFilters
Waste management; Administrative office,Waste collection service offices,fromFilters
Waste management; Collection,Waste collection service offices,fromFilters
Waste management; Sorting facility,Waste sorting centres,fromFilters
Buildings; Pumping station,Wastewater pumping stations,fromFilters
Wastewater; Sanitary dump,Wastewater tanks,fromFilters
Wastewater; Treatment works,Wastewater treatment works,fromFilters
Wastewater; Treatment works and facilities,Wastewater treatment works,fromFilters
Utilities office; Water,Water provider offices,fromFilters
Water; Storage tower,Water tanks and towers,fromFilters
Water; Treatment works and facilities,Water treatment works,fromFilters
Outdoors and natural environment; Wetland,Wetlands,fromFilters
Outdoors and natural environment; Wetland tidal flat,Wetlands,fromFilters
Industry; Builders merchant,Wholesale retail,fromFilters
Retail; Industry bulk goods,Wholesale retail,fromFilters
Retail; Wholesale,Wholesale retail,fromFilters
Attractions; Zoological garden,Zoos,fromFilters
"Airbase (Aerodrome, terminal and gates)",Air bases,fromPostProcessing
Airbase (Infrastructure),Air bases,fromPostProcessing
Major airport,Airports (major),fromPostProcessing
"Major airport; Aerodrome, terminal and gates (Building outline)",Airports (major),fromPostProcessing
"Transport infrastructure; Major airport apron, runways and taxiways",Airports (major),fromPostProcessing
Sports and games; Golf,"Sports facilities (outdoor, permeable, with club)",fromPostProcessing
Public transport; Rail station (Major),Train stations (major),fromPostProcessing
Public transport; Rail station (Minor),Train stations (minor),fromPostProcessing
Absorption tower,Absorption towers,fromValidation
Minor airport,Airports (minor),fromValidation
Food production and horticulture; Aquaculture,Aquaculture,fromValidation
Outdoor facility; Training grounds,Armed forces training grounds,fromValidation
Attractions; Visitor centre,Attractions,fromValidation
Bank headquarters,Bank headquarters,fromValidation
Banks,Banks,fromValidation
Private clubs,Community centres,fromValidation
Exhibition centres; Animal racing,Conference and exhibition centres (animal racing),fromValidation
Creative spaces; Other,Creative spaces,fromValidation
Traffic crossings; Unspecified,Crossings,fromValidation
Gas network; Pipes,Gas pipelines,fromValidation
Gas provider offices,Gas provider offices,fromValidation
Industry; Harbour,Harbours,fromValidation
Historic; Unspecified,Historic points of interest,fromValidation
Home and outdoor maintenance services,Home and outdoor maintenance services,fromValidation
Healthcare; A&E,Hospitals,fromValidation
Telecommunications; Cable,ICT cables and wireless communication modes,fromValidation
Manufacturing (consumer discretionary),Manufacturing (consumer discretionary),fromValidation
Food production and horticulture; Manufacturing,Manufacturing (consumer staples),fromValidation
Manufacturing; Healthcare,Manufacturing (healthcare),fromValidation
Manufacturing; IT hardware,Manufacturing (IT hardware),fromValidation
Mental health facility; Healthcare,Mental health services,fromValidation
Attractions; Auditoriums,Music and theatre venues,fromValidation
Business and commerce; Unspecified,Offices (other),fromValidation
Industry; Manufacturing,Offices (other),fromValidation
Industry; Unspecified,Offices (other),fromValidation
Governance; Parliamentary buildings,Parliamentary buildings,fromValidation
Governance; Probation offices,Police stations,fromValidation
Transport infrastructure; Subway line,Roads (major) and railways,fromValidation
Transport infrastructure; Tram line,Roads (major) and railways,fromValidation
Sports facilities (indoor),Sports facilities (indoor),fromValidation
Town square,Town squares,fromValidation
"Transport infrastructure; Light & heavy rail depots, yards and sidings",Vehicle depots,fromValidation
"Vehicles; Light & heavy rail depots, yards and sidings",Vehicle depots,fromValidation
Wastewater; Pipes,Wastewater pipes,fromValidation
Buildings; Pumping station (water),Water pumping stations,fromValidation
NA,Airplanes and helicopters,alwaysIncluded
NA,Bicycles,alwaysIncluded
NA,Boats,alwaysIncluded
NA,Buses and trams,alwaysIncluded
NA,Emergency vehicles,alwaysIncluded
NA,Lorries,alwaysIncluded
NA,Maintenance vehicles,alwaysIncluded
NA,Personal devices,alwaysIncluded
NA,Private motor vehicles,alwaysIncluded
NA,Subway trains,alwaysIncluded
NA,Taxis,alwaysIncluded
NA,Trains,alwaysIncluded
NA,Wildlife,alwaysIncluded
NA,Gas pipelines,alwaysIncluded
NA,Potable water pipes,alwaysIncluded
NA,Wastewater pipes,alwaysIncluded
NA,ICT cables and wireless communication modes,alwaysIncluded
NA,Town squares,alwaysIncluded
,Homeless shelters,alwaysIncluded
,Food banks,alwaysIncluded
,Telecommunications towers,alwaysIncluded
,Traveller sites,alwaysIncluded
